Mac Prefix,Mac Prefix,Vendor Name,Private,Block Type,Last Update
0:00:23,0:00:23,ABB INDUSTRIAL SYSTEMS AB,FALSE,MA-L,17/11/2015
0:00:31,0:00:31,"QPSX COMMUNICATIONS, LTD.",FALSE,MA-L,11/4/2016
0:00:37,0:00:37,OXFORD METRICS LIMITED,FALSE,MA-L,17/11/2015
0:00:46,0:00:46,OLIVETTI NORTH AMERICA,FALSE,MA-L,17/11/2015
0:00:49,0:00:49,"APRICOT COMPUTERS, LTD",FALSE,MA-L,17/11/2015
0:00:50,0:00:50,RADISYS CORPORATION,FALSE,MA-L,17/11/2015
0:00:51,0:00:51,HOB ELECTRONIC GMBH & CO. KG,FALSE,MA-L,17/11/2015
0:00:52,0:00:52,"Intrusion.com, Inc.",FALSE,MA-L,24/10/2001
0:00:58,0:00:58,RACORE COMPUTER PRODUCTS INC.,FALSE,MA-L,17/11/2015
0:00:00,0:00:00,XEROX CORPORATION,FALSE,MA-L,17/11/2015
0:00:01,0:00:01,XEROX CORPORATION,FALSE,MA-L,17/11/2015
0:00:02,0:00:02,XEROX CORPORATION,FALSE,MA-L,17/11/2015
0:00:03,0:00:03,XEROX CORPORATION,FALSE,MA-L,17/11/2015
0:00:04,0:00:04,XEROX CORPORATION,FALSE,MA-L,17/11/2015
0:00:05,0:00:05,XEROX CORPORATION,FALSE,MA-L,17/11/2015
0:00:06,0:00:06,XEROX CORPORATION,FALSE,MA-L,17/11/2015
0:00:07,0:00:07,XEROX CORPORATION,FALSE,MA-L,17/11/2015
0:00:08,0:00:08,XEROX CORPORATION,FALSE,MA-L,17/11/2015
0:00:09,0:00:09,XEROX CORPORATION,FALSE,MA-L,17/11/2015
0:00:10,0:00:10,SYTEK INC.,FALSE,MA-L,17/11/2015
0:00:11,0:00:11,NORMEREL SYSTEMES,FALSE,MA-L,17/11/2015
0:00:12,0:00:12,INFORMATION TECHNOLOGY LIMITED,FALSE,MA-L,17/11/2015
0:00:13,0:00:13,CAMEX,FALSE,MA-L,17/11/2015
0:00:14,0:00:14,NETRONIX,FALSE,MA-L,17/11/2015
0:00:15,0:00:15,DATAPOINT CORPORATION,FALSE,MA-L,17/11/2015
0:00:16,0:00:16,DU PONT PIXEL SYSTEMS     .,FALSE,MA-L,17/11/2015
0:00:17,0:00:17,Oracle,FALSE,MA-L,17/11/2015
0:00:18,0:00:18,WEBSTER COMPUTER CORPORATION,FALSE,MA-L,17/11/2015
